year,raceId,boatType,classId,place,value,temp,rain,water
2018,ADK90,Canoe,oc4stockmix,7,22412,58.7,0,2.76
2015,ADK90,Kayak,k1tourmaster,8,22415,63,0.185,2.75
2019,ADK90,Canoe,oc1recveteran,3,22420,59.3,0.008,4.97
2008,ADK90,Canoe,oc1rec,6,22422,70.2,0.323,4.58
2021,ADK90,Guideboat,g2,7,22431,60,0,5.13
2013,ADK90,Canoe,open,NA,22433,57.4,0.047,4.6
2014,ADK90,Canoe,open,NA,22433,68.9,0.067,4.01
2014,ADK90,Canoe,oc1stock,2,22434,68.9,0.067,4.01
2011,ADK90,Canoe,open,NA,22440,62.9,0,7.28
2025,ADK90,Canoe,oc2stockmaster,5,22440.8,60.5,0.134,3.08
2023,ADK90,Kayak,k1unlimited,3,22442.4,65.2,0,5
2011,ADK90,Canoe,oc2stockwomen,2,22444,62.9,0,7.28
2012,ADK90,Canoe,oc1stock,3,22445,69.1,0.516,4.29
2025,ADK90,Canoe,oc4stock,11,22446.9,60.5,0.134,3.08
2014,ADK90,Canoe,oc2rec,2,22451,68.9,0.067,4.01
2022,ADK90,Canoe,oc2stockmix,6,22452.4,67.5,0,3.91
2019,ADK90,Kayak,k1tourmaster,6,22453,59.3,0.008,4.97
2011,ADK90,Canoe,oc2rec,6,22455,62.9,0,7.28
2012,ADK90,Canoe,open,NA,22455,69.1,0.516,4.29
2013,ADK90,Kayak,k1tourveteran,2,22458,57.4,0.047,4.6
2009,ADK90,Guideboat,g1,2,22465,60,0.185,4.03
2010,ADK90,Canoe,oc2ammix,7,22469,58.4,0,3.89
2017,ADK90,Canoe,open,NA,22470,52.8,0.02,5.46
2019,ADK90,Canoe,oc1recmaster,2,22472,59.3,0.008,4.97
2021,ADK90,Unknown,open,13,22473,60,0,5.13
2014,ADK90,Canoe,oc1stock,1,22479,68.9,0.067,4.01
2025,ADK90,Canoe,oc1stock,4,22480.9,60.5,0.134,3.08
2024,ADK90,Canoe,oc2stock,17,22481.9,59.6,0.768,4.26
